;review_comment_message;price;freight_value;payment_type;product_description_lenght;review_score;customer_state;seller_state;product_photos_qty;product_category_name
32435;" Relogio muito feio! Nada haver com a foto.
 Nao recomendo..... parece relogio de brinquedo.
Aff joguei dinheiro fora";78.0;7.8;credit_card;319.0;1;SP;SP;4.0;relogios_presentes
58196;Efetuei a compra de dois produtos, mas só recebi um e o status foi registrado incorretamente como entregue.;119.9;20.08;credit_card;1450.0;1;MG;SC;3.0;pet_shop
35242;Achei que o produto fosse melhor!bom;89.9;15.38;boleto;245.0;1;ES;SP;1.0;cama_mesa_banho
102163;O produto está com defeito e estou aguardando a loja entrar em contato comigo este tempo todo e até hoje nada...;85.0;20.08;credit_card;1328.0;1;MG;SP;1.0;cama_mesa_banho
12414;Péssimo produto! Os que são vendidos nas lojinhas de 1.99 talvez seja mais satisfatório! E ainda veio um quebrado, mesmo estando bem embalado, ou seja dá pra pensar que já foi armazenado quebrado ;56.99;8.72;credit_card;1003.0;1;SP;SP;2.0;perfumaria
2079;Comprei 2 adesivos juntos,cobraram 2 fretes,sendo que a compra foi feita 1 compra com 2 adesivos e pro mesmo endereço,e foram entregues juntos,achei muito errado,o certo seria só um frete.Nao gostei..;7.9;8.29;credit_card;366.0;3;SP;SP;4.0;papelaria
55932;Comprei 5 escovas de dentes Black com cerdas pretas. Recebi apenas 2 e não são Black, são coloridas, vermelha e roxa! Um absurdo! Fui roubada! Incompleto e errado!;29.9;18.23;boleto;1482.0;1;SP;RJ;2.0;beleza_saude
93613;Estou aguardando o restante da entrega, comprei e paguei 3 perfumes blackcaviar feminino e recebi 1 perfume, preciso de um retorno da empresa para recuperar o prejuízo .;44.9;15.63;boleto;899.0;1;RJ;SP;3.0;perfumaria
47503;Qualidade abaixo do esperado!;69.0;16.24;credit_card;1904.0;2;SP;SC;1.0;cama_mesa_banho
78787;O produto tem pequenos defeitos, por ser tão caro, devia passar por uma triagem mais bem eficiente e detalhista.;69.9;17.77;credit_card;1188.0;2;CE;SP;2.0;utilidades_domesticas
105802;Comprei 2 unidades do produto, veio avariado visto que a embalagem é muito fraca, sendo que veio com dois buracos no fundo da panela, devido a pressão que dog colocado em cima dele.;40.99;17.93;credit_card;605.0;1;GO;SP;5.0;utilidades_domesticas
41701;"faz mais de 1 mes que pedi o produto e ate agora nao foi entregue ,e ainda por cima nao dao nenhuma explicao de como fica meu dinheiro
";12.6;15.1;debit_card;759.0;1;SC;SP;1.0;fashion_bolsas_e_acessorios
88841;Ainda nao recebi o produto;165.9;25.29;credit_card;1313.0;1;DF;PR;1.0;esporte_lazer
47182;"Boa noite!

Infelizmente o produto é bem menor em tamanho do que imaginava.
Gostaria de efetuar a troca.
Grata";59.99;34.22;boleto;482.0;1;CE;MG;2.0;pet_shop
117733;Prazo de Entrga muito longo , e quando chega a data prevista , não entrega. - PessimoParceiro;48.67;9.34;credit_card;543.0;1;SP;SP;3.0;moveis_decoracao
113789;Fiz minha compra dia 17/08/2018 agora e dia 27/08/ e ainda nao recebi o produto;12.9;7.39;boleto;379.0;2;SP;SP;1.0;construcao_ferramentas_construcao
10562;Informação Conflitante ,queria comprar Fone De Ouvido Headphone Sem Fio de um valor superior porem o vendedor não entregava na minha cidade,de um valor menor vendeu e entregou .Como assim? ;76.0;15.28;credit_card;973.0;3;RS;SP;1.0;telefonia
61039;Achei a qualidade do produto muito inferior ao que detalhava nas informações. A qualidade do tecido não me agradou.;89.9;10.01;boleto;1208.0;1;SP;SP;1.0;cama_mesa_banho
531;ainda não recebi meu produto e quero saber como anda a entrega. Estou pensando em cancelar a compra.;209.9;18.72;credit_card;236.0;1;RJ;SP;1.0;relogios_presentes
64279;Veio na cor marrom e não preta. Bem simples e leve. ;10.99;15.1;credit_card;457.0;3;ES;SP;4.0;moveis_decoracao
117440;SIMPLESMENTE NAO RECEBI O PRODUTO!!! ;70.0;9.74;credit_card;335.0;1;SP;SP;2.0;moveis_decoracao
33495;O produto veio com defeito, relógio soltando o fundo. A própria pulseira do relógio o fazia soltar;49.0;14.1;credit_card;379.0;1;ES;SP;3.0;relogios_presentes
89584;O stark sempre foi muito confiável, porém desta vez recebi o produto sem nenhuma especificação. Não sabemos para até quantos watt's pode ser usado. Propaganda duvidosa.;29.9;14.52;boleto;325.0;3;SP;MG;3.0;moveis_decoracao
32984;Eu so recebi um relógio o do mickei...Pensei q chegariam juntos mais até o momento nada.Por gentileza possível verificar.;55.0;8.51;credit_card;112.0;2;SP;SP;2.0;relogios_presentes
10242;Comprei para presentear meu marido e até agora não recebi, em contato com a targaryen responsável pela entrega o prazo uma resposta expirou e até agora nenhuma informação sobre a entrega do produto.;27.99;15.1;credit_card;818.0;1;RJ;SP;6.0;telefonia
